time,voltage,speed5,distance_traveled,,,,speed10,speed7
1.72874E+12,0,2.82,196.8654380870999,,,,,
,,,,,,,,
1.72874E+12,0,2.82,197.2666309988999,,,,,
,,,,,,,,
1.72874E+12,0,2.82,197.6347358354999,,,,,
,,,,,,,,
1.72874E+12,0,2.75,198.0622701404999,,,,,
,,,,,,,,
1.72874E+12,0,2.75,198.4777044179999,,,,,
,,,,,,,,
1.72874E+12,0,2.75,198.83667190049988,,,,,
,,,,,,,,
1.72874E+12,0,2.75,199.23597280799987,,,,,
,,,,,,,,
1.72874E+12,0,2.71,199.62151635089987,,,,,
,,,,,,,,
1.72874E+12,0,2.71,200.0587306778999,,,,,
,,,,,,,,
1.72874E+12,0,2.71,200.4402995450999,,,,,
,,,,,,,,
1.72874E+12,0,2.71,200.79802035809988,,,,,
,,,,,,,,
1.72874E+12,0,2.71,201.27100676639986,,,,,
,,,,,,,,
1.72874E+12,0,2.63,201.61045287119984,,,,,
,,,,,,,,
1.72874E+12,0,2.63,202.05018987059984,,,,,
,,,,,,,,
1.72874E+12,0,2.63,202.42435205429985,,,,,
,,,,,,,,
1.72874E+12,0,2.63,202.83323031689986,,,,,
,,,,,,,,
1.72874E+12,0,2.63,203.16496173749985,,,,,
,,,,,,,,
1.72874E+12,0,2.57,203.58712803029985,,,,,
,,,,,,,,
1.72874E+12,0,2.57,203.97160090409986,,,,,
,,,,,,,,
1.72874E+12,0,2.57,204.28822562369984,,,,,
,,,,,,,,
1.72874E+12,0,2.57,204.70662257459983,,,,,
,,,,,,,,
1.72874E+12,0,2.57,205.10617281599983,,,,,
,,,,,,,,
1.72874E+12,0,2.52,205.46468563079983,,,,,
,,,,,,,,
1.72874E+12,0,2.52,205.84167848759984,,,,,
,,,,,,,,
1.72874E+12,0,2.52,206.2075833191998,,,,,
,,,,,,,,
1.72874E+12,0,2.52,206.57718415919982,,,,,
,,,,,,,,
1.72874E+12,0,2.52,206.94678499919982,,,,,
,,,,,,,,
1.72874E+12,0,2.43,207.35664593069984,,,,,
,,,,,,,,
1.72874E+12,0,2.43,207.70235471639984,,,,,
,,,,,,,,
1.72874E+12,0,2.43,208.01598742919984,,,,,
,,,,,,,,
1.72874E+12,0,2.43,208.42941236879986,,,,,
,,,,,,,,
1.72874E+12,0,2.43,208.72878904919986,,,,,
,,,,,,,,
1.72874E+12,0,2.37,209.12157794189986,,,,,
,,,,,,,,
1.72874E+12,0,2.37,209.48308276349985,,,,,
,,,,,,,,
1.72874E+12,0,2.37,209.83068355349985,,,,,
,,,,,,,,
1.72874E+12,0,2.37,210.16090430399987,,,,,
,,,,,,,,
1.72874E+12,0,2.37,210.5224091255999,,,,,
,,,,,,,,
1.72874E+12,0,2.32,210.8558712167999,,,,,
,,,,,,,,
1.72874E+12,0,2.32,211.2029440055999,,,,,
,,,,,,,,
1.72874E+12,0,2.32,211.54321144559992,,,,,
,,,,,,,,
1.72874E+12,0,2.32,211.8834788855999,,,,,
,,,,,,,,
1.72874E+12,0,2.32,212.16590086079992,,,,,
,,,,,,,,
1.72874E+12,0.81,2.23,212.54856973049993,,,,,
,,,,,,,,
1.72874E+12,0,2.23,212.92469725199993,,,,,
,,,,,,,,
1.72874E+12,0,2.23,213.24522331379993,,,,,
,,,,,,,,
1.72874E+12,0.4,2.23,213.52977196049994,,,,,
,,,,,,,,
1.72874E+12,0,2.23,213.89608745969994,,,,,
,,,,,,,,
1.72874E+12,0,2.23,214.19698947689994,,,,,
,,,,,,,,
1.72874E+12,0,2.16,214.52963023289996,,,,,
,,,,,,,,
1.72874E+12,0,2.16,214.81791888809997,,,,,
,,,,,,,,
